Symbol,ETF Name,Asset Class,Total Assets ($MM),YTD Price Change,Avg. Daily Share Volume (3mo),Previous Closing Price
VGSH,Vanguard Short-Term Treasury ETF,Bond,"$22,436",2.17%,"4,149,756",$58.64
SMH,VanEck Semiconductor ETF,Equity,"$22,412",-1.00%,"8,576,914",$239.75
MDY,SPDR S&P Midcap 400 ETF Trust,Equity,"$21,992",-3.43%,"1,205,927",$548.72
XLC,Communication Services Select Sector SPDR Fund,Equity,"$21,928",5.05%,"5,477,442",$101.40
IUSG,iShares Core S&P U.S. Growth ETF,Equity,"$21,927",1.84%,"714,033",$141.73
XLY,Consumer Discretionary Select Sector SPDR Fund,Equity,"$21,541",-4.44%,"4,873,497",$213.80
ACWI,iShares MSCI ACWI ETF,Equity,"$21,349",5.23%,"3,598,672",$123.65
FBTC,Fidelity Wise Origin Bitcoin Fund,Currency,"$21,326",12.01%,"3,689,578",$91.38
VXF,Vanguard Extended Market ETF,Equity,"$21,240",-3.20%,"593,581",$183.28
IGSB,iShares 1-5 Year Investment Grade Corporate Bond ETF,Bond,"$21,149",2.94%,"4,169,458",$52.45
COWZ,Pacer US Cash Cows 100 ETF,Equity,"$21,036",-4.73%,"2,910,041",$53.59
XLI,Industrial Select Sector SPDR Fund,Equity,"$21,022",8.72%,"10,701,625",$142.82
JAAA,Janus Henderson AAA CLO ETF,Bond,"$20,947",1.89%,"7,776,834",$50.75
SHV,iShares Short Treasury Bond ETF,Bond,"$20,599",1.69%,"6,347,508",$110.44
GBTC,Grayscale Bitcoin Trust ETF,Currency,"$19,974",11.42%,"2,189,914",$82.47
IUSV,iShares Core S&P U.S. Value ETF,Equity,"$19,925",-0.63%,"1,048,436",$91.64
IDEV,iShares Core MSCI International Developed Markets ETF,Equity,"$19,820",16.67%,"1,922,745",$75.22
SDY,SPDR S&P Dividend ETF,Equity,"$19,691",2.59%,"284,167",$134.70
IYW,iShares U.S. Technology ETF,Equity,"$19,493",-0.75%,"985,486",$158.25
DVY,iShares Select Dividend ETF,Equity,"$19,225",0.69%,"465,198",$131.17
OEF,iShares S&P 100 ETF,Equity,"$19,012",0.04%,"514,892",$288.37
USFR,WisdomTree Floating Rate Treasury Fund,Bond,"$18,834",1.75%,"6,474,259",$50.32
FBND,Fidelity Total Bond ETF,Bond,"$18,478",2.67%,"2,153,589",$45.21
XLU,Utilities Select Sector SPDR Fund,Equity,"$18,397",9.00%,"11,681,892",$81.92
IWP,iShares Russell Mid-Cap Growth ETF,Equity,"$18,313",4.97%,"1,123,770",$132.94
VBK,Vanguard Small Cap Growth ETF,Equity,"$18,030",-5.65%,"321,819",$263.82
FNDX,Schwab Fundamental U.S. Large Company ETF,Equity,"$17,731",0.35%,"3,676,398",$23.66
VOE,Vanguard Mid-Cap Value ETF,Equity,"$17,392",0.43%,"362,358",$161.41
DYNF,iShares U.S. Equity Factor Rotation Active ETF,Equity,"$17,376",1.72%,"2,066,400",$51.95
EEM,iShares MSCI Emerging Markets ETF,Equity,"$17,317",8.85%,"28,000,473",$45.52
MTUM,iShares MSCI USA Momentum Factor ETF,Equity,"$16,882",12.19%,"1,254,267",$231.54
SCHA,Schwab U.S. Small-Cap ETF,Equity,"$16,625",-6.37%,"4,014,234",$24.16
VOOG,Vanguard S&P 500 Growth ETF,Equity,"$16,590",2.14%,"341,689",$373.30
CGDV,Capital Group Dividend Value ETF,Equity,"$16,509",5.56%,"3,663,734",$37.11
XLP,Consumer Staples Select Sector SPDR Fund,Equity,"$16,249",5.92%,"15,346,114",$82.83
VOT,Vanguard Mid-Cap Growth ETF,Equity,"$16,101",5.91%,"283,523",$268.26
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,Bond,"$16,018",3.12%,"54,103,273",$79.57
IEI,iShares 3-7 Year Treasury Bond ETF,Bond,"$15,814",3.43%,"2,434,769",$118.19
FNDF,Schwab Fundamental International Equity ETF,Equity,"$15,806",17.49%,"1,429,586",$39.02
GDX,VanEck Gold Miners ETF,Equity,"$15,517",49.37%,"22,955,670",$50.65
SLV,iShares Silver Trust,Commodity,"$15,301",13.94%,"20,462,395",$30.00
AVUV,Avantis U.S. Small Cap Value ETF,Equity,"$15,296",-8.36%,"1,339,798",$88.13
DGRW,WisdomTree US Quality Dividend Growth Fund,Equity,"$15,088",0.39%,"725,189",$80.82
IWV,iShares Russell 3000 ETF,Equity,"$15,049",0.45%,"270,102",$334.88
GLDM,SPDR Gold Minishares Trust of beneficial interest,Commodity,"$14,968",25.49%,"4,573,870",$65.24
VTIP,Vanguard Short-Term Inflation-Protected Securities ETF,Bond,"$14,935",3.50%,"2,158,117",$50.02
VHT,Vanguard Health Care ETF,Equity,"$14,911",-3.58%,"289,244",$243.75
EWJ,iShares MSCI Japan ETF,Equity,"$14,896",10.46%,"5,764,206",$74.12
IGIB,iShares 5-10 Year Investment Grade Corporate Bond ETF,Bond,"$14,715",3.50%,"1,982,341",$52.51
DFUS,Dimensional U.S. Equity Market ETF,Equity,"$14,480",0.48%,"549,780",$63.92
VMBS,Vanguard Mortgage-Backed Securities ETF,Bond,"$14,297",2.38%,"3,756,603",$45.74
RDVY,First Trust Rising Dividend Achievers ETF,Equity,"$14,198",2.21%,"1,102,213",$60.19
EMXC,iShares MSCI Emerging Markets ex China ETF,Equity,"$14,045",6.83%,"3,296,786",$59.24
TIP,iShares TIPS Bond ETF,Bond,"$13,789",3.73%,"2,336,814",$109.29
USIG,iShares Broad USD Investment Grade Corporate Bond ETF,Bond,"$13,646",2.47%,"1,944,414",$50.74
PFF,iShares Preferred & Income Securities ETF,Preferred Stock,"$13,601",-1.68%,"4,063,225",$30.23
SPHQ,Invesco S&P 500® Quality ETF,Equity,"$13,540",5.19%,"1,404,734",$70.30
ESGU,iShares ESG Aware MSCI USA ETF,Equity,"$13,461",0.39%,"641,178",$128.98
MINT,PIMCO Enhanced Short Maturity Active Exchange-Traded Fund,Bond,"$13,263",1.83%,"1,764,969",$100.54
GSLC,TR Activebeta US Large Cap Equity ETF,Equity,"$13,166",1.01%,"291,925",$116.00
IWY,iShares Russell Top 200 Growth ETF,Equity,"$13,093",-1.33%,"535,056",$231.88
IWS,iShares Russell Mid-Cap Value ETF,Equity,"$12,992",-0.59%,"661,527",$128.13
EFG,iShares MSCI EAFE Growth ETF,Equity,"$12,954",13.38%,"984,722",$109.79
BBJP,JPMorgan BetaBuilders Japan ETF,Equity,"$12,901",10.60%,"1,421,864",$60.71
FTEC,Fidelity MSCI Information Technology Index ETF,Equity,"$12,884",-2.27%,"470,506",$180.43
SCHP,Schwab U.S. TIPS ETF,Bond,"$12,747",3.53%,"3,532,306",$26.51
MOAT,VanEck Morningstar Wide Moat ETF,Equity,"$12,609",-3.34%,"969,944",$89.63
STIP,iShares 0-5 Year TIPS Bond ETF,Bond,"$12,566",3.51%,"893,061",$102.71
SPMD,SPDR Portfolio S&P 400 Mid Cap ETF,Equity,"$12,543",-3.33%,"1,960,422",$52.69
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,Bond,"$12,522",3.60%,"6,657,327",$90.60
CGGR,Capital Group Growth ETF,Equity,"$12,192",2.66%,"3,285,369",$38.16
SCHV,Schwab U.S. Large-Cap Value ETF,Equity,"$12,066",3.33%,"1,877,381",$26.80
VONV,Vanguard Russell 1000 Value ETF,Equity,"$11,985",2.39%,"907,592",$82.81
VFH,Vanguard Financials ETF,Equity,"$11,923",4.51%,"580,791",$122.88
